id,GEOGRAFICO
140,Square
140,Square
140,School
140,Sports Hub 
140,Sports Hub 
140,Sports Hub 
140,Sports Hub 
140,Sports Hub 
140,Sports Hub 
140,Sports Hub 
140,Restriction of Passage to Pedestrians and/or Automobiles
140,Restriction of Passage to Pedestrians and/or Automobiles
140,Restriction of Passage to Pedestrians and/or Automobiles
140,Restriction of Passage to Pedestrians and/or Automobiles
140,Restriction of Passage to Pedestrians and/or Automobiles
140,Restriction of Passage to Pedestrians and/or Automobiles
140,Restriction of Passage to Pedestrians and/or Automobiles
140,Restriction of Passage to Pedestrians and/or Automobiles
140,Restriction of Passage to Pedestrians and/or Automobiles
140,Sports Hub 
140,Sports Hub 
140,Sports Hub 
140,Sports Hub 
141,Square
141,Square
141,School
141,School
141,Temple
141,Temple
141,Temple
141,Temple
141,Temple
141,Temple
141,School
141,School
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Restriction of Passage to Pedestrians and/or Automobiles
141,Restriction of Passage to Pedestrians and/or Automobiles
141,Restriction of Passage to Pedestrians and/or Automobiles
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Temple
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,School
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
141,Sports Hub 
142,School
142,School
142,Temple
142,School
142,Temple
142,Temple
142,Temple
142,School
142,Temple
142,School
142,School
142,School
142,School
142,Temple
142,Urban Infrastructure
142,Urban Infrastructure
142,Urban Infrastructure
142,Urban Infrastructure
142,Urban Infrastructure
142,Urban Infrastructure
142,Urban Infrastructure
142,Urban Infrastructure
